name,sub_category,ratings,no_of_ratings,discount_price,actual_price,discount_percentage,discount_percentage_original
24 Mantra Organic Bajra Flour/Pearl Millet Flour/Sajjalu - 500gms | Pack of 1 | Chemical Free & Pesticides Free | Naturall...,All Grocery & Gourmet Foods,4.3,2490,50.0,55.0,9.1,9.090909090909092
Brij Gwala Desi Cow Ghee |Made Traditionally from Curd |Pure Cow Ghee for Better Digestion and Immunity | 1Ltr TetraPack,All Grocery & Gourmet Foods,3.4,909,450.0,580.0,22.4,22.413793103448278
"Mangalam Camphor tab Pouch (500g Small Round, Pack of 1)",All Grocery & Gourmet Foods,4.3,7519,549.0,750.0,26.8,26.8
"Parle Krackjack, 400g",All Grocery & Gourmet Foods,4.4,1258,74.0,75.0,1.3,1.3333333333333335
"True Elements Nuts & Berries Muesli 1kg - With 14% Millets, Almonds & Cranberries | High in Fibre | 100% Wholegrain Breakf...",All Grocery & Gourmet Foods,4.3,2594,499.0,595.0,16.1,16.134453781512605
"Cadbury Dairy Milk Bites Hazelnut, 40 g",All Grocery & Gourmet Foods,4.4,262,68.0,75.0,9.3,9.333333333333334
"LG Asafoetida Powder, 100 g",All Grocery & Gourmet Foods,4.5,704,147.0,165.0,10.9,10.909090909090908
"Sleepy Owl Premium Instant Coffee Sachets | 96 gm - Pack of 48 Assorted Coffee Powder Sachets | 2g Each - Original, French...",All Grocery & Gourmet Foods,3.9,64,299.0,500.0,40.2,40.2
"Cadbury Silk Valentines Potli Gift Pack, 343 g",All Grocery & Gourmet Foods,4.3,6974,520.0,650.0,20.0,20.0
"Nature Prime 100% Natural Premium Mix Dry Fruits and Nuts 1 Kg [Almonds, Cashew, Kishmish, Apricot, Black Raisins,kiwi] Dr...",All Grocery & Gourmet Foods,4.0,158,749.0,1499.0,50.0,50.03335557038026
Tur Dal Loose Selecta 1kg,All Grocery & Gourmet Foods,4.2,3987,140.0,199.0,29.6,29.64824120603015
"Mccain Veggie Burger, 360 g",All Grocery & Gourmet Foods,4.4,1993,114.0,135.0,15.6,15.555555555555555
Saffola Fittify Himalayan Apple Cider Vinegar with the Mother of Vinegar - 500 ml,All Grocery & Gourmet Foods,4.1,632,150.0,299.0,49.8,49.83277591973244
"Patanjali Saundarya Aloe Vera Gel, 150ml",All Grocery & Gourmet Foods,4.3,4205,88.0,100.0,12.0,12.0
"Brooke Bond Red Label Natural Care Tea, 250g Carton",All Grocery & Gourmet Foods,4.4,2051,125.0,130.0,3.8,3.8461538461538463
"Organic India Tulsi Original Tea, 25 Infusion Tea Bags ( 1 Bag x 1.74g Each )",All Grocery & Gourmet Foods,4.5,2341,161.0,168.0,4.2,4.166666666666666
"Aashirvaad Sugar Release Control Atta, 1kg Pack, Low GI (Glycemic Index) Atta for Diabetics, A Blend of Whole Wheat, Pulse...",All Grocery & Gourmet Foods,4.4,813,77.0,80.0,3.8,3.75
Himalaya Wellness Pure Herbs Shatavari Women's Wellness | Promotes lactation | - 60 Tablets,All Grocery & Gourmet Foods,4.1,2467,165.0,180.0,8.3,8.333333333333332
"More Whole Masoor Malka - Red, 500g (Loose)",All Grocery & Gourmet Foods,4.1,195,149.0,199.0,25.1,25.125628140703515
"Urban Platter Baker's Active Dry Yeast, 100g",All Grocery & Gourmet Foods,4.3,2893,195.0,250.0,22.0,22.0
"Lipton Honey Lemon Green Tea Bags, 25 Pieces",All Grocery & Gourmet Foods,4.3,3271,170.0,180.0,5.6,5.555555555555555
"Amazon Brand - Vedaka Poppy Seeds (Khus Khus), 200g",All Grocery & Gourmet Foods,4.3,1707,499.0,600.0,16.8,16.833333333333332
"Manna Foxtail Millet Natural Grains, 1kg (500g x 2 Packs) - (Kaon/Kang/Kangni/Kakum/Navani/korralu/Korra/Thinai) | Native ...",All Grocery & Gourmet Foods,4.3,1572,179.0,198.0,9.6,9.595959595959595
"ORGANIC INDIA Cold Pressed Virgin Coconut Oil, 500ml (Pack of 1)",All Grocery & Gourmet Foods,4.4,1853,693.0,725.0,4.4,4.413793103448276
"Paper Boat Panipuri Pellets I Hygienic & Tasty I Ready to Fry I Golgappe, 400g",All Grocery & Gourmet Foods,4.1,3203,184.0,200.0,8.0,8.0
"Tata Sampann 6 Grain Khichdi Mix, Instant Ready to Cook Mix, 180g",All Grocery & Gourmet Foods,4.2,1307,60.0,70.0,14.3,14.285714285714285
"Sunfeast YiPPee! Pasta Treat | Cheesy and Soft Suji, Rawa Pasta | Tomato Cheese | 65g Pack",All Grocery & Gourmet Foods,3.9,1876,23.0,28.0,17.9,17.857142857142858
"Lifelong LLM99 Foot, Calf and Leg Massager, (With Heat and Vibration), 80W, 4 Motors, Dark Brown",All Grocery & Gourmet Foods,3.9,11339,13899.0,38000.0,63.4,63.42368421052632
Manna Kodo Millet | Kodri | Natural Grains 1kg (500g x 2 Packs) - (Kodra/Varagu/Arikelu/Hark/Varigu) | Native Low GI Mille...,All Grocery & Gourmet Foods,4.3,1086,179.0,260.0,31.2,31.153846153846153
Wheafree Gluten Free Multigrain Flour (5Kg) | Soya Free | Lactose Free | Easy to Digest | Suitable for Celiacs,All Grocery & Gourmet Foods,4.0,1958,690.0,700.0,1.4,1.4285714285714286
"Sugar Free Gold Low Calorie Sweetener - Pack of 2 (100 Sachet x 2), Box",All Grocery & Gourmet Foods,4.5,469,238.0,250.0,4.8,4.8
Pintola Organic Peanut Butter (Crunchy) (1kg),All Grocery & Gourmet Foods,4.4,5185,449.0,525.0,14.5,14.476190476190476
"Sunbean Beaten Caffe, Instant Coffee Paste 250g Jar | Rich, Creamy and Frothy Beaten Coffee | Make Hot Coffee, Cappuccino ...",All Grocery & Gourmet Foods,4.0,4932,261.0,295.0,11.5,11.525423728813559
Organic India - Jaggery Powder 500g (Pack of 2),All Grocery & Gourmet Foods,4.4,3231,175.9,184.0,4.4,4.402173913043475
"Jaago CTC Leaf Tea, 1 Kg | tea 1kg | Chai Patti | Black CTC Tea | Loose Tea | Black Tea | Tea 1kg Pack",All Grocery & Gourmet Foods,4.6,1904,185.0,215.0,14.0,13.953488372093023
Cavin's Vanilla Milkshake 200 ml,All Grocery & Gourmet Foods,4.3,800,32.0,40.0,20.0,20.0
R R AGRO FOODS Chia Seeds 1 KG - Premium Organic Chia Seed | Healthy Snacks | Chia Seeds for Weight Loss Pack of 1,All Grocery & Gourmet Foods,4.2,5064,499.0,899.0,44.5,44.493882091212456
"Amazon Brand - Solimo CornFlakes, 1.2Kg",All Grocery & Gourmet Foods,4.1,1374,249.0,425.0,41.4,41.411764705882355
"JIWA healthy by nature Organic khapli wheat flour, 1Kg",All Grocery & Gourmet Foods,4.4,84,175.0,245.0,28.6,28.57142857142857
Yogabar Protein Bars Assorted Pack of 6 | 20g Protein Bar | Energy Bars | Added Probiotics & Whey | 20g Protein & 10g Fibr...,All Grocery & Gourmet Foods,4.4,3082,599.0,749.0,20.0,20.026702269692922
"Amul Delicious, 500 g",All Grocery & Gourmet Foods,4.3,922,89.0,106.0,16.0,16.037735849056602
"Del Monte Spaghetti Pasta (Imported), 500 grams, No Artificial Flavours",All Grocery & Gourmet Foods,4.3,2205,135.0,240.0,43.8,43.75
Kapiva Himalayan Apple Cider Vinegar with Mother Vinegar 500ml,All Grocery & Gourmet Foods,4.2,2557,284.0,299.0,5.0,5.016722408026756
Nutrilin Jumbo Handpicked Lotus Seeds / Fox Nuts Big Size Phool Makhana (Pop / Gorgon Nut Puffed Kernels ) (1kg),All Grocery & Gourmet Foods,4.0,959,625.0,999.0,37.4,37.43743743743744
"Manna Millets - Natural Grains Combo Pack of 3 | Foxtail 500g, Kodo 500g, Little 500g | Native Low GI Millet Rice | Nutrie...",All Grocery & Gourmet Foods,4.3,1658,249.0,390.0,36.2,36.15384615384615
Finish Dishwasher Powerball Classic - 110 Tablets,All Grocery & Gourmet Foods,4.2,3824,1239.0,3999.0,69.0,69.01725431357839
"Slurrp Farm Healthy Pancake Lovers Combo | Blueberry, Classic, Chocolate & Banana | No Maida, Wheat & Preservative | Made ...",All Grocery & Gourmet Foods,4.4,669,329.0,646.0,49.1,49.07120743034056
Lotus Biscoff Cookies - Caramelized Biscuit Cookie - 250 Gram - Non-GMO Project Verified and Vegan,All Grocery & Gourmet Foods,4.2,651,269.0,299.0,10.0,10.033444816053512
"MuscleBlaze High Protein Natural Peanut Butter with Whey Protein Concentrate, Crunchy, 37 g Protein, Unsweetened, No Added...",All Grocery & Gourmet Foods,4.3,14516,469.0,599.0,21.7,21.702838063439064
"Zero Sugar (400g) | Stevia and Monk Fruit Sweetener | No Maltodextrin, No Aspartame | No Bitter Aftertaste | Sugar Free | ...",All Grocery & Gourmet Foods,4.1,1435,559.0,799.0,30.0,30.037546933667088
"Nature Fresh Sampoorna Atta, superior MP Atta , 10kg",All Grocery & Gourmet Foods,4.3,3133,440.0,475.0,7.4,7.368421052631578
"Kellogg's Crunchy Granola Chocolate & Almonds 450g | 15% Almonds, Baked Multigrain | Golden Wheat, Nutritious Oats, Crispy...",All Grocery & Gourmet Foods,4.4,2293,343.0,350.0,2.0,2.0
"Britannia Vita Marie Gold Biscuits, 978g",All Grocery & Gourmet Foods,4.4,461,132.0,155.0,14.8,14.838709677419354
"VAHDAM Organic Green Tea Bags - 15 Units | Green Tea for Weight Loss | USDA Certified | Zero Calories, Improves Metabolism...",All Grocery & Gourmet Foods,4.2,3083,145.0,225.0,35.6,35.55555555555556
"Freedom Refined Sunflower Oil, 1L",All Grocery & Gourmet Foods,4.4,3533,188.0,195.0,3.6,3.5897435897435894
HATHMIC Raw Extra Virgin Coconut Oil (Cold Pressed)1000ml,All Grocery & Gourmet Foods,4.4,2408,615.0,690.0,10.9,10.869565217391305
"Cadbury Dairy Milk Chocolate Home Treats Pack, 126g",All Grocery & Gourmet Foods,4.4,2520,124.0,149.0,16.8,16.778523489932887
"Haldiram's Nagpur Bhujia Sev, 200g",All Grocery & Gourmet Foods,4.4,895,49.0,55.0,10.9,10.909090909090908
"Britannia Toastea Premium Bake Rusk, 150g or 167g (Weight May Vary)",All Grocery & Gourmet Foods,4.1,370,35.0,40.0,12.5,12.5
"3S Pulses - White Peas, 500g",All Grocery & Gourmet Foods,4.2,565,199.0,249.0,20.1,20.080321285140563
Goodricke Roasted Organic Darjeeling Tea - 250gm | 100% Organic Whole Leaf Tea | Darjeeling Long Leaf Tea | Flavoury Golde...,All Grocery & Gourmet Foods,4.2,2287,285.0,300.0,5.0,5.0
"Weikfield Baking Powder, 100g",All Grocery & Gourmet Foods,4.4,2732,33.0,35.0,5.7,5.714285714285714
"Mother Dairy UHT Milk, 1 Ltr",All Grocery & Gourmet Foods,4.3,2170,69.83,75.0,6.9,6.893333333333336
Top Ramen Masala 480g / 560g (Weight May Vary),All Grocery & Gourmet Foods,4.4,772,101.0,106.0,4.7,4.716981132075472
GO DESi - Pops Trial Pack | Gift Basket | DESi POPz | Tangy Imli | Kaccha Aam | Real Aam | Lollipop,All Grocery & Gourmet Foods,3.9,389,445.0,500.0,11.0,11.0
"Nestle a+ Nourish Toned Milk, 1Ltr",All Grocery & Gourmet Foods,4.5,1404,90.0,101.0,10.9,10.891089108910892
"Wagh Bakri Ginger Instant Tea Premix, 140g",All Grocery & Gourmet Foods,4.2,958,139.0,150.0,7.3,7.333333333333333
"KLF Coconad Instant Coconut Milk Powder, 1kg",All Grocery & Gourmet Foods,4.4,1655,670.0,850.0,21.2,21.176470588235293
"More Superior Clove (Lavang), 20g Pouch",All Grocery & Gourmet Foods,4.3,590,189.0,249.0,24.1,24.096385542168676
Paper Boat Dry Fruit Chikki | No Preservatives and Colors | 250g / 280g (Weight May Vary),All Grocery & Gourmet Foods,4.2,1435,276.0,300.0,8.0,8.0
"Thums Up Soft Drink PET Bottle, 1.25 L",All Grocery & Gourmet Foods,4.4,1674,64.0,65.0,1.5,1.5384615384615385
"Fortune Xpert Pro Sugar Conscious Edible Oil, Pouch, 1 L",All Grocery & Gourmet Foods,4.3,2058,167.0,199.0,16.1,16.08040201005025
"Colgate Kids Strawberry 40g Toothpaste, Cavity Protection",All Grocery & Gourmet Foods,4.4,751,61.0,62.0,1.6,1.6129032258064515
"JIWA healthy by nature Gluten Free Atta/Flour, 1Kg",All Grocery & Gourmet Foods,3.9,1770,150.0,199.0,24.6,24.623115577889447
"Amazon Brand - Solimo Durum Wheat Spaghetti Pasta, 500g pack of 2",All Grocery & Gourmet Foods,4.3,1894,165.0,396.0,58.3,58.333333333333336
Keya Arabian Sea Salt 1kg…,All Grocery & Gourmet Foods,4.3,583,160.0,290.0,44.8,44.827586206896555
More Brown Rice Loose 1 Kg,All Grocery & Gourmet Foods,3.9,575,170.0,200.0,15.0,15.0
"Amazon Brand - Solimo Premium Cashews, 250 g",All Grocery & Gourmet Foods,4.3,5274,299.0,435.0,31.3,31.264367816091955
