name,sub_category,ratings,no_of_ratings,discount_price,actual_price,discount_percentage,discount_percentage_original
Nutribee 100% Multi-Grain Millet Rusk | Refined Sugar Free | Healthy Diet Toast | No Maida and Sugar | No Preservatives | ...,All Grocery & Gourmet Foods,3.8,76,225.0,270.0,16.7,16.666666666666664
Delight Foods Banarasi Meetha Paan (Without Supari & Areca Nut) (300g),All Grocery & Gourmet Foods,4.0,1362,265.0,400.0,33.8,33.75
Amulya Dairy Whitener 200g Refill,All Grocery & Gourmet Foods,4.3,64,87.0,90.0,3.3,3.3333333333333335
"Mamie Yova French Yogurt Strawberry, 90 g",All Grocery & Gourmet Foods,3.9,218,35.0,50.0,30.0,30.0
Cadbury Oreo Vanilla flavour Cookie Sandwich Cream Biscuit Family pack (Pack of 4 x 288.75g/Pack of 4 x 300g grammage may ...,All Grocery & Gourmet Foods,4.2,505,272.0,340.0,20.0,20.0
Haoliyuan Corn Toffee Gummy Milk Fruit Candy 360G (100 Pieces),All Grocery & Gourmet Foods,4.1,205,279.0,699.0,60.1,60.08583690987125
Curry leaves Powder 100g | Karuveppilai Powder | Kadi Patta Powder | Karibevu Powder for Hair & Eating,All Grocery & Gourmet Foods,4.3,53,80.0,120.0,33.3,33.33333333333333
"Mapro Lemon Ginger Squash, 750ml",All Grocery & Gourmet Foods,4.3,421,162.0,180.0,10.0,10.0
Organic India Organic Ghee (500 ml),All Grocery & Gourmet Foods,4.2,175,621.4,650.0,4.4,4.400000000000003
Fearless Green Tea Original & Pure | 200g | Natural Loose Leaves | Non Bitter Assam Tea | Silver Tips | Exported Worldwid...,All Grocery & Gourmet Foods,4.3,291,259.0,379.0,31.7,31.6622691292876
"Tata Soulfull Masala Oats+, Tasty Snack with Millets, Tomato Twist, 500g",All Grocery & Gourmet Foods,3.9,207,175.0,209.0,16.3,16.267942583732058
Krishna's Night Jasmine Parijat Harshringar Leaf Juice - 500 ml,All Grocery & Gourmet Foods,4.6,18,245.0,250.0,2.0,2.0
"Sage Apothecary 100% Pure & Natural Jasmine Essential Oil Undiluted - 10 ML Therapeutic Grade for Healthy Skin, Face, Hair...",All Grocery & Gourmet Foods,4.1,1466,185.0,195.0,5.1,5.128205128205128
Spruce Shave Club Natural Shaving Gel For Men | Extra Sensitive Formula with Pure Essential Oils | Witch Hazel & Aloe Vera...,All Grocery & Gourmet Foods,3.7,488,225.0,299.0,24.7,24.74916387959866
"Desire Popcorn Seasonings Combo (Cheese,Tomato & Mexican) 100 Gram Each",All Grocery & Gourmet Foods,3.5,192,349.0,450.0,22.4,22.444444444444443
ATLANTIS Kadak Cardamom Premix Tea for Vending Machine - 1kg,All Grocery & Gourmet Foods,3.8,109,395.0,415.0,4.8,4.819277108433735
"CRISTA Zesty Chilli Lime Seasoning | Chilly & Lemon Spice Blend | Trans Fat Free | Vegan | Zero added Colours, Fillers, Ad...",All Grocery & Gourmet Foods,4.5,136,126.0,140.0,10.0,10.0
"Fruitri Premium Dried Fig, Afghani Anjeer, 500g",All Grocery & Gourmet Foods,3.9,2140,824.0,999.0,17.5,17.51751751751752
"TEACURRY Thyroid Support Tea Bags - 30 Tea Bags, 1 Month Pack (Spearmint Flavoured) - Helps with Thyroid Support (TSH T3 T...",All Grocery & Gourmet Foods,4.3,103,619.0,799.0,22.5,22.528160200250312
Jabsons Roasted Peanut Diffrent Flavours,All Grocery & Gourmet Foods,4.2,126,399.0,500.0,20.2,20.200000000000003
"Organic Box Raw Pumpkin Seeds - 250g and Sunflower Seeds - 250g for Eating, Immunity Combo, Protein and Fiber Rich Superfo...",All Grocery & Gourmet Foods,3.9,197,339.0,599.0,43.4,43.40567612687813
Tata Tea Gold Darjeeling | Fine Long Leaf Authentic Darjeeling Tea | Black Tea | 75g,All Grocery & Gourmet Foods,4.0,149,119.0,135.0,11.9,11.851851851851853
"Pro Nature Channa Dal, 500g",All Grocery & Gourmet Foods,4.3,253,85.0,106.0,19.8,19.81132075471698
"Amazon Brand - Solimo Premium Prunes, 250g",All Grocery & Gourmet Foods,4.2,145,299.0,400.0,25.2,25.25
"Urban Platter Coconut Jaggery Sugar Powder, 1Kg [Low GI | Rich in Minerals | Natural Sweetener]",All Grocery & Gourmet Foods,4.3,94,600.0,800.0,25.0,25.0
"Urban Platter Lemon Pepper Seasoning Mix Shaker Jar, 100g (Sprinkle on Veggies, Salads and Anything of The Grill | Flavour...",All Grocery & Gourmet Foods,4.2,356,145.0,150.0,3.3,3.3333333333333335
Knorr All-in-1 Seasoning Powder (800 g),All Grocery & Gourmet Foods,4.4,318,409.0,599.0,31.7,31.719532554257096
"Gavyamart Ghee in Pantry, 100% Pure Kankrej A2 Cow Desi Ghee - Made Using Traditional Bilona Method Ghee - Glass Ghee jar ...",All Grocery & Gourmet Foods,4.1,316,800.0,900.0,11.1,11.11111111111111
"Lion Brand Saffron, Original Kashmiri Lacha Keshar/Kesar For Biryani, Tea, Pooja and Milk (Value Pack of 1 (1 X 1gm = 1gram))",All Grocery & Gourmet Foods,4.0,1952,269.0,350.0,23.1,23.142857142857142
NeutraVed Thyme Leaves | Use For Thyme Herb Seasoning & Herbal Thyme Tea | Dried Ground Thyme Like Fresh Thyme - 40g,All Grocery & Gourmet Foods,4.0,44,152.0,180.0,15.6,15.555555555555555
"Heinz Distilled White Vinegar Bottle, 16 fl oz / 473 ml,00013000008525",All Grocery & Gourmet Foods,4.4,4928,390.0,599.0,34.9,34.891485809682806
The Tea Trove Organic Dandelion Root Tea - Kidney and Liver Cleanse Tea - Dandelion Tea Helps Improve Digestion and Immune...,All Grocery & Gourmet Foods,4.3,239,330.0,465.0,29.0,29.03225806451613
"Sam Yang Carbo & Cheese Hot Chicken Flavour Raman Cup Noodles, 70 grams*2 Pack (Pack of 2) (Imported)",All Grocery & Gourmet Foods,4.0,321,320.0,599.0,46.6,46.57762938230384
"Sorich Organics Dark Cocoa Powder 400gm | Dark Cocoa Powder for Cake, Chocolates, Cookies, Brownies, Hot/Cold Milk Shakes,...",All Grocery & Gourmet Foods,4.0,471,350.0,500.0,30.0,30.0
Sugar Free Natura Diet Sugar - 80 g,All Grocery & Gourmet Foods,4.3,1205,239.0,240.0,0.4,0.4166666666666667
Mewar Impex Niranjan Phal | Malva Nuts | Sterculia Lychnophora/Nirajana Phal (100 gm),All Grocery & Gourmet Foods,3.9,96,299.0,500.0,40.2,40.2
"Haldiram Chana Dry Fruit Burfi, 400g, Indian Sweets Diwali Gift Pack",All Grocery & Gourmet Foods,4.1,500,355.0,380.0,6.6,6.578947368421052
Mapro Alphonso Mango Crush 750 ml,All Grocery & Gourmet Foods,4.0,258,225.0,270.0,16.7,16.666666666666664
"Shan Nihari Masala, 2 Pack, 2 x 60 g",All Grocery & Gourmet Foods,4.5,469,145.0,160.0,9.4,9.375
Online Quality Store Organic Chamomile Flower Tea - 100g | Caffeine Free Herbal Tea| Chamomile Tea| Boost Immunity| Detox ...,All Grocery & Gourmet Foods,3.9,66,234.0,300.0,22.0,22.0
"frugease Super Smoothies Mix Combo - Healthy Shakes with 100% Natural Fruit, Veggies, Seeds, Grain, 0 Added Sugarand Prese...",All Grocery & Gourmet Foods,4.0,71,570.0,693.0,17.7,17.74891774891775
ReSound GN Size312 Hearing Aid Battery (pack of 5) (30 Batteries),All Grocery & Gourmet Foods,4.5,212,499.0,1650.0,69.8,69.75757575757576
"House of Saffron 1 gram Pure Kashmir Mogra Kesar | Premium Original Saffron for Pregnant Women, Milk, Biryani, Cooking, Sk...",All Grocery & Gourmet Foods,4.3,762,500.0,799.0,37.4,37.42177722152691
By Nature - Himalayan Pink Salt 400g | Salt in Fresh | Mineral Rich | Low Sodium Pink Salt | Flavorful | Vegan Food,All Grocery & Gourmet Foods,4.3,1620,149.0,160.0,6.9,6.875000000000001
"Britannia Milk Bikis Milk Biscuits Pouch, 280g/300g (Weight May Vary)",All Grocery & Gourmet Foods,4.3,263,321.0,350.0,8.3,8.285714285714285
IH FOOD PRODUCTS Kalmi Dates Khajur Khajoor Dry Fruits Energy Booster Healthy Superfoods For Breakfast Antioxidant Rich Fi...,All Grocery & Gourmet Foods,4.5,5,499.0,999.0,50.1,50.050050050050054
More Pulav Rice Loose 1Kg,All Grocery & Gourmet Foods,3.5,181,75.0,120.0,37.5,37.5
"NUTRI DESIRE Dried Californian Blueberry Sweet and Delicious 1KG Rich in Calcium and Vitamin K | Vegan, Non-GMO & No Prese...",All Grocery & Gourmet Foods,3.0,30,739.0,1499.0,50.7,50.70046697798533
jai jinendra Hubba Bubba Snappy Strawberry and Fancy Fruits Mega Long Chewing Gum; 56 g - Pack of 2,All Grocery & Gourmet Foods,3.6,56,290.0,300.0,3.3,3.3333333333333335
"Upakarma Ayurveda Pure Shilajit Capsules 300 mg, 90 Veg Capsules- Pack of 1",All Grocery & Gourmet Foods,3.7,1049,449.0,949.0,52.7,52.68703898840885
VAHDAM Organic Chamomile Tea Bags with Mint & Citrus - 15 Units | Green Tea for Weight Loss | USDA Certified | For Stress ...,All Grocery & Gourmet Foods,4.3,1086,170.0,200.0,15.0,15.0
"Colgate Vedshakti Mouth Protect Spray, 30ml (10ml* 3), Instant Germ Kill with breath freshener, Saunf Flavor contains Clov...",All Grocery & Gourmet Foods,3.8,4166,270.0,350.0,22.9,22.857142857142858
"Jiwa Gluten Free Maida, 900g",All Grocery & Gourmet Foods,3.9,523,150.0,199.0,24.6,24.623115577889447
"Patanjali Aloevera Fibre Juice, 1L",All Grocery & Gourmet Foods,4.2,537,209.0,210.0,0.5,0.4761904761904762
Orion Turtle Chips Party snack - Hot Lime 130g (Pack of 5)| Sweet & Salty|Korean Snack|100% veg| corn chips,All Grocery & Gourmet Foods,5.0,5,430.0,500.0,14.0,14.000000000000002
"KWALITY Golden Corn Flakes - Crispy and Delicious Breakfast Cereal Made with 100% Natural Corn - 99% Fat Free, No Preserva...",All Grocery & Gourmet Foods,4.2,180,319.0,395.0,19.2,19.240506329113924
CHAMRIA AJWAIN PACHAK 150GMS (2 PACKS),All Grocery & Gourmet Foods,4.1,538,210.0,230.0,8.7,8.695652173913043
"Davidoff Café Grande Cuvee Instant Coffee, Fine Aroma, 100 g, Glass Bottle",All Grocery & Gourmet Foods,4.6,756,560.98,699.0,19.7,19.745350500715304
"Marwar Papad Moong Dal Special (Handmade, Medium Spicy & Rajasthani Flavor) Special 400gm Zipper Pack of 1",All Grocery & Gourmet Foods,4.2,1447,188.0,300.0,37.3,37.333333333333336
"TEACURRY Stinging Nettle Tea (1 Month Pack, 30 Tea Bags) - Helps with Kidney Detox, Blood Sugar, Blood Purify - Stinging N...",All Grocery & Gourmet Foods,4.3,126,619.0,799.0,22.5,22.528160200250312
Nescafe Gold Decaf Coffee 200g,All Grocery & Gourmet Foods,4.7,4,1150.0,1600.0,28.1,28.125
Saffola FITTIFY Gourmet HI PROTEIN SLIM MEAL-SHAKE Royal Kesar Pista Buy 1 Get 1 Free 420 gm (12 servings),All Grocery & Gourmet Foods,3.8,2014,1360.0,1699.0,20.0,19.952913478516773
"TheForresto Pure Kashmiri Saffron /Kesar 1Gm, Natural and Finest A++ Grade , Pack of 1",All Grocery & Gourmet Foods,4.7,69,399.0,499.0,20.0,20.04008016032064
"Organic Tattva, Organic Unpolished Urad Dal Black Whole, 500g",All Grocery & Gourmet Foods,4.5,175,127.5,150.0,15.0,15.0
"Nesquik Chocolate Drink, 300 g",All Grocery & Gourmet Foods,4.2,4444,319.0,500.0,36.2,36.199999999999996
Raghbat Premium California Roasted & Salted Jumbo Size Pistachios Nut 1kg Family Value Pack | Pista Dry Fruit | Super Crun...,All Grocery & Gourmet Foods,4.0,45,1325.0,2475.0,46.5,46.464646464646464
Nutraj Chironji Nuts (100 g),All Grocery & Gourmet Foods,4.2,49,195.0,199.0,2.0,2.0100502512562812
"Organic Entree-Dry Stevia Leaves, Natural Sugar Substitute, Zero Calorie Sweetener, 100% Sugar Free (40 gm)",All Grocery & Gourmet Foods,3.8,310,220.0,230.0,4.3,4.3478260869565215
"Hershey's Strawberry Syrup, 623g",All Grocery & Gourmet Foods,4.0,131,230.0,250.0,8.0,8.0
Anjali Sunflower Oil (1 Lt. Pouch M3),All Grocery & Gourmet Foods,4.6,10,173.0,300.0,42.3,42.333333333333336
"Saptamveda 100% Organic Amla Indian Gooseberry Powder (150gm)| Drinking, Eating, Hair Nourishment, Repair Damage Hair & Sk...",All Grocery & Gourmet Foods,4.1,81,199.0,249.0,20.1,20.080321285140563
"Storck Werther's Original Cream Candies Sugar Free, 70g",All Grocery & Gourmet Foods,4.3,240,490.0,799.0,38.7,38.67334167709637
"Oceans Secret - Tuna Chunks in Olive Oil 180g, Pack of 2 | Immunity Booster | Superfood | 100% Olive Oil | No Added Water",All Grocery & Gourmet Foods,4.4,1230,345.0,360.0,4.2,4.166666666666666
Shapen You 28 Days Slim Blend for Improved Digestion and Weight Management: 2 Pack of Green Tea and Green Coffee (100g each),All Grocery & Gourmet Foods,5.0,8,474.0,2000.0,76.3,76.3
G-Uncle-G White Phenyl Concentrate 1 litre makes 30-35 litre of Good phenyl,All Grocery & Gourmet Foods,4.0,485,370.0,700.0,47.1,47.14285714285714
"Zenith Nutrition Pantothenic Acid (Vitamin B5) 5000mcg, Energy & Metabolism - 100 Veg capsules",All Grocery & Gourmet Foods,4.0,211,599.0,800.0,25.1,25.124999999999996
Catch Whole Jeera (Cumin) Seed 200 GMS - Pack of 2(400 GMS) - Whole Pack,All Grocery & Gourmet Foods,4.4,655,240.0,270.0,11.1,11.11111111111111
SDS Shahi Paneer Masala 40gm - Pack of 6,All Grocery & Gourmet Foods,4.4,122,212.0,240.0,11.7,11.666666666666666
"Sindhi Dry Fruits Gurbandi Badam, Premium Gurbandi Almond Giri, Desi Badam, Great Snack for Diabetic Patients, 500 grams Pack",All Grocery & Gourmet Foods,3.8,68,520.0,624.0,16.7,16.666666666666664
Vaidyarajindia Pure AYURVEDA Olive Salt (Jaitun Ka Namak Zaitoon) 60g,All Grocery & Gourmet Foods,3.6,9,160.0,399.0,59.9,59.899749373433586
NUTRIFRUITS ROASTED CASHEW BLACK PEPPER FLAVOUR,All Grocery & Gourmet Foods,5.0,1,260.0,475.0,45.3,45.26315789473684
Nuts and Seeds (Yellow Dates/ Peela Khajoor 1kg),All Grocery & Gourmet Foods,3.4,62,211.0,2000.0,89.4,89.45
Add me Home Made Lasode Gunda Pickle Achar 500gm Rajasthani lasoda Fruit ka achaar Glass Jar,All Grocery & Gourmet Foods,4.1,598,299.0,400.0,25.2,25.25
RiTrue - Organic Pitted Dried Prunes Without added Sugar - 250 gm - Unsweetened Dry Fruits (No Preservatives & Additives)...,All Grocery & Gourmet Foods,4.0,295,346.0,499.0,30.7,30.66132264529058
Beyond Snáck Natural Kerala Banana Chips Healthy and Delicious Snacks- No Hand Touch- Original Style Salted 600gms,All Grocery & Gourmet Foods,3.8,794,459.0,540.0,15.0,15.0
"Fatafat Digestive Pills , Fatafat Goli , Fatafat Candi , Old Hyderabadi Fatafat (12 pouches x 25g each)",All Grocery & Gourmet Foods,4.1,21,120.0,222.0,45.9,45.94594594594595
"Vimto Fruit Cordial, 710g",All Grocery & Gourmet Foods,4.3,40,629.0,999.0,37.0,37.03703703703704
"Nutri Desire Immunity Booster High Rich Protein Combo of Pumpkin, Sunflower & Watermelon Seeds (Pack of 3) (150 gram each)",All Grocery & Gourmet Foods,3.9,81,335.0,399.0,16.0,16.040100250626566
CHAI POINT Instant Tea | Incredibly Authentic | Elaichi Flavor | 10 Sachets | Elaichi Tea | Instant Tea Premix Tea| Assam ...,All Grocery & Gourmet Foods,4.1,471,175.0,199.0,12.1,12.060301507537687
"HERBALIFE Afresh Energy Drink - Peach Flavor & Lemon Flavor For Weight Loss Energy Drink  (50 g, Peach, Lemon Flavored)",All Grocery & Gourmet Foods,4.2,22,1069.0,1696.0,37.0,36.96933962264151
"Nescafe Gold Origins Indonesian Sumatra Coffee Bottle, 100g",All Grocery & Gourmet Foods,4.3,411,809.0,999.0,19.0,19.01901901901902
Ruchi Daliya 500grm (Pack of 2),All Grocery & Gourmet Foods,4.4,406,133.0,140.0,5.0,5.0
"Too Yumm! Multigrain Chips, Dahi Papdi Chaat, 54g",All Grocery & Gourmet Foods,4.2,290,19.0,20.0,5.0,5.0
"Vishvanetre Pure & Natural Chestnut Oak Flour Shaahabaloot Ka Atta ,Singhra Atta....... (500 GM)",All Grocery & Gourmet Foods,3.6,13,199.0,498.0,60.0,60.040160642570285
"Organic Tattva, Organic Triphala Powder 100 Gram Tin | All Natural,No Artificial Additives Or Harmful Pesticides | for Gas...",All Grocery & Gourmet Foods,4.1,110,110.0,135.0,18.5,18.51851851851852
"Dr. Oetker Funfoods Dr. Oetker Mayo Veg Original, 250g",All Grocery & Gourmet Foods,4.1,125,88.0,89.0,1.1,1.1235955056179776
True Elements Raw Seeds Combo (Chia Seeds 250g and Flax Seeds 250g) - Seeds for Eating | Mix Seeds | High Fibre,All Grocery & Gourmet Foods,4.6,60,384.0,449.0,14.5,14.476614699331849
"Ritter Sport Minis, mini assorted chocolates, Ritter Sport Chocolates mini variety, product of Germany, mini chocolates fo...",All Grocery & Gourmet Foods,3.9,396,429.0,450.0,4.7,4.666666666666667
Veganic Marshmallows Pure Veg (80 Pieces) Pack Strawberry Vanilla Flavour Mini Marshmallow Soft And Tasty Candy Perfect Fo...,All Grocery & Gourmet Foods,3.6,736,219.0,399.0,45.1,45.11278195488722
The Whole Truth - Energy Bars | SUPERSAVER Pack All-Flavours | Pack of 10 x 40g | Dairy Free & Sugarfree | No Artificial S...,All Grocery & Gourmet Foods,4.4,103,570.0,600.0,5.0,5.0
Thanjai Organics Karuppu Kavuni Rice | Black Rice | Low GI |Traditional Kavuni Arisi (Weight: 1kg),All Grocery & Gourmet Foods,4.2,155,339.0,400.0,15.2,15.25
"Karachi Bakery Fruit Nankatai Biscuit, 400g",All Grocery & Gourmet Foods,3.8,201,195.0,215.0,9.3,9.30232558139535
"Amul Kool Koko Can, 200ml",All Grocery & Gourmet Foods,4.2,139,30.0,40.0,25.0,25.0
"Finish Rinse Aid Shine Plus Dry Lemon, 400Ml",All Grocery & Gourmet Foods,4.6,85,345.0,379.0,9.0,8.970976253298153
"True Elements Muesli 1kg - With Seeds, Berries, Raisins & Almonds | 100% Wholegrain Cereal for Breakfast",All Grocery & Gourmet Foods,4.3,652,517.0,595.0,13.1,13.109243697478993
Nestle Nescafe Signature Blend Hot Coffee Premix (1 kg),All Grocery & Gourmet Foods,3.9,95,599.0,600.0,0.2,0.16666666666666669
"FRESH & HONEST Awake Filter Coffee Powder 70: 30 Blend, 200g",All Grocery & Gourmet Foods,3.8,15,66.0,110.0,40.0,40.0
"Regency Pitted Prunes, Dried Plum, 240g",All Grocery & Gourmet Foods,4.2,1237,295.0,299.0,1.3,1.3377926421404682
"Qonty Defatted Soya Flour | 52% Protein, 1.5% Fat | Lab Tested | 8 gm Protein Per Roti | No Preservatives | Gluten Free | ...",All Grocery & Gourmet Foods,4.3,184,302.0,455.0,33.6,33.62637362637363
Octavius Classic Assam Black Tea - 100 Teabag pack of 1,All Grocery & Gourmet Foods,4.1,363,161.0,190.0,15.3,15.263157894736842
Nutri Desire Immunity Booster High Rich Protein Chia Seeds (Pack of 2) (150 gram * 2),All Grocery & Gourmet Foods,4.1,33,240.0,399.0,39.8,39.849624060150376
Mr. Hung Kruanthip Tempura Flour (1 kg),All Grocery & Gourmet Foods,4.3,139,295.0,499.0,40.9,40.88176352705411
"Pramix Dry Amla Candy, Sweet Avla (Indian Gooseberry) 900 gm",All Grocery & Gourmet Foods,3.8,460,399.0,699.0,42.9,42.91845493562232
"Thanjai Natural Mango Seed Powder (100g) 100% Natural, Made in dried mango seeds Oldest Traditional Method, No Preservatives",All Grocery & Gourmet Foods,5.0,1,149.0,250.0,40.4,40.400000000000006
"Colombian Brew 3 in 1 Cappuccino Café Latte, Instant Coffee Powder Premix, 10 Sachets Box pack of 2",All Grocery & Gourmet Foods,4.0,353,378.0,498.0,24.1,24.096385542168676
"Third Wave Coffee French Roast 100% Arabica Coffee, 250 gram (Cold Brew/French Press)",All Grocery & Gourmet Foods,4.2,48,355.0,450.0,21.1,21.11111111111111
"Organic Tattva, Organic Roasted Chana Dal, 500g | 100% Vegan, Gluten Free and NO Additives",All Grocery & Gourmet Foods,4.1,89,131.0,145.0,9.7,9.655172413793103
"Tropicana Mixed Fruit Juice, 1 Litre",All Grocery & Gourmet Foods,4.4,102,135.0,144.0,6.2,6.25
"Diabexy Cookies Combo (Almond, Coconut & Chocolate) Sugar Control for Diabetes 200 gm Each (Pack of 3)",All Grocery & Gourmet Foods,4.2,170,1199.0,1485.0,19.3,19.25925925925926
"Pravin Pickles Thecha Combo of 9 Pack - Red Chilli Thecha 100g x 3, Kolhapuri Thecha 100g x 3, Green Chilli Thecha 100g x 3",All Grocery & Gourmet Foods,4.3,154,269.0,270.0,0.4,0.3703703703703704
"Organic Tattva, Organic Dried Red Chilli Powder, 100 Gram | Quality Mirchi Powder, Naturally Processed, from Farm Picked F...",All Grocery & Gourmet Foods,3.9,179,52.0,60.0,13.3,13.333333333333334
"SAPPHIRE FOODS Organically Grown Hulled Buckwheat Groats Vacuum Packed (Hulled, Raw) (250G)",All Grocery & Gourmet Foods,5.0,5,199.0,1599.0,87.6,87.55472170106316
"Starbucks Single Origin Sumatra Coffee Dark Roast Coffee Capsule by Nespresso Intensity 10, 55g",All Grocery & Gourmet Foods,4.0,705,605.0,1199.0,49.5,49.54128440366973
"Krishna's Pathar Juice Chatadi - 1000 ml | Dissolve or Break The Stone | Goodness of Pashanbhed, Adulsa, Kutki & Amla | Bl...",All Grocery & Gourmet Foods,3.3,12,445.0,450.0,1.1,1.1111111111111112
"Samyang Carbo Hot Chicken Flavour Raman Cup Noodles, 70mg*4 Pack (Pack of 4) (Imported)",All Grocery & Gourmet Foods,4.9,8,499.0,540.0,7.6,7.592592592592593
MYFITNESS Natural Peanut Butter Smooth 1250g,All Grocery & Gourmet Foods,4.4,498,629.0,649.0,3.1,3.0816640986132513
"Limca Bottle, 600ml",All Grocery & Gourmet Foods,4.4,117,39.0,40.0,2.5,2.5
ORGANIC INDIA Tulsi Lemon Ginger Tea - 25 Tea Bags (Pack of 2),All Grocery & Gourmet Foods,4.4,110,370.93,388.0,4.4,4.399484536082472
"Happilo Premium International Healthy Nutmix 350g Value Pack, ‎Almonds, Black Raisins, Cashewnuts, Cranberries, Green Rais...",All Grocery & Gourmet Foods,4.3,578,533.1,599.0,11.0,11.001669449081799
"Gits Instant Khatta Dhokla Mix, Makes 100 Per Pack, Pure Veg, Instant Indian Snack Mix, 500g",All Grocery & Gourmet Foods,4.1,112,128.0,140.0,8.6,8.571428571428571
NutroActive Keto Atta (1g Net Carb Per Roti ) Extremely Low Carb Flour - 500 gm,All Grocery & Gourmet Foods,3.9,3158,399.0,449.0,11.1,11.1358574610245
Herbalife Nutrition F 1 Mango F 3 Protein Powder and Afresh Ginger,All Grocery & Gourmet Foods,4.0,247,2475.0,4476.0,44.7,44.70509383378016
Everlite Indian Tasty Crunchy Edible Roasted Clay | Bhutdo | Khadi | Mitti | Butter Soil Manure | Roasted Nakumatt | Nakum...,All Grocery & Gourmet Foods,3.0,65,129.0,250.0,48.4,48.4
"Teabox Organic Turmeric Ginger Tulsi Green Tea 25 Teabags | For Immunity Boosting, Digestion and Sore Throat | 100% Whole ...",All Grocery & Gourmet Foods,4.2,1304,227.0,239.0,5.0,5.02092050209205
"Pro Nature 100% Organic Almonds, 100g",All Grocery & Gourmet Foods,4.2,257,243.0,270.0,10.0,10.0
Haldiram's Kesar Gujiya 400 g X 1 Box (Made with 100% Desi Ghee),All Grocery & Gourmet Foods,2.0,1,399.0,545.0,26.8,26.788990825688074
"Harveys Flavouring Essence | Biryani, Kewra, Saffron, Cardamom | Pack of 4 | For Biryani, Kheer, Cake, Cookies, Muffins, S...",All Grocery & Gourmet Foods,3.6,71,220.0,236.0,6.8,6.779661016949152
"Amazon Brand - Jam & Honey Yellow Unicorn Soft Toy, 35 cm",All Grocery & Gourmet Foods,4.6,325,335.0,950.0,64.7,64.73684210526316
"ElectroFizz Instant Hydration Energy Drink for Workout for Men and Women- Electrolyte Powder, Vitamin C, Probiotics - 1 Kg...",All Grocery & Gourmet Foods,4.0,387,549.0,777.0,29.3,29.343629343629345
NatureVit Premium Chia Seeds 200g | Raw Chia Seeds for Eating with Omega 3 & Fibre for Weight Loss Management.,All Grocery & Gourmet Foods,5.0,2,149.0,300.0,50.3,50.33333333333333
Rustic Nature Raw Chia Seeds Rich in Omega 3 for Weight Loss 1kg,All Grocery & Gourmet Foods,4.3,2240,590.0,1000.0,41.0,41.0
"Prizex Natural Organic Poppy Seeds / Khus Khus / Posta Dana, 250gm…",All Grocery & Gourmet Foods,3.7,196,499.0,699.0,28.6,28.612303290414882
Happilo Premium International Daily Super Fitness Mix 325 g | Premium Superfood | Premium & Nutritious Super Fitness Mix N...,All Grocery & Gourmet Foods,4.2,173,339.0,499.0,32.1,32.06412825651302
SFT Fennel Seeds Small (Saunf) 400 Gm,All Grocery & Gourmet Foods,3.6,258,207.0,300.0,31.0,31.0
mCaffeine Green Tea Skin Care Gift Set With Goodness of Vitamin C | For All Ocassions | Gender Neutral | 100% Natural Prod...,All Grocery & Gourmet Foods,4.4,640,1699.0,2049.0,17.1,17.08150317227916
Namo Organics - Jumbo Chironji Seeds - 150 Gm - Almondette Kernels / Charoli Dry Fruits | Raw | Sweets Making,All Grocery & Gourmet Foods,4.1,76,288.0,399.0,27.8,27.819548872180448
"Tulsi Rozana California Almonds, 1000gm",All Grocery & Gourmet Foods,4.1,2407,804.0,1185.0,32.2,32.151898734177216
Birju Mahavir Kadwa Badam - Bitter Almonds 400 Gr,All Grocery & Gourmet Foods,3.9,358,269.0,590.0,54.4,54.40677966101695
"Nando's Peri Peri Chilli Sauce - Hot, 250g, Product of The Netherlands",All Grocery & Gourmet Foods,4.4,427,349.0,390.0,10.5,10.512820512820513
"Paperboat Swing Lush Lychee Juice with Vitamin D, 600 ml Each - Pack of 6",All Grocery & Gourmet Foods,4.0,1,233.0,240.0,2.9,2.9166666666666665
"Sunbean Beaten Caffe Strong, 125g | Rich, Creamy Strong Beaten Coffee | Whipped Coffee Paste | Strong Instant Beaten Coffe...",All Grocery & Gourmet Foods,3.9,450,144.0,175.0,17.7,17.71428571428571
"Urban Platter Natural Cocoa Powder, 250g",All Grocery & Gourmet Foods,4.3,843,240.0,250.0,4.0,4.0
Nutri Desire Fox Nuts Phool Makhana (1kg),All Grocery & Gourmet Foods,4.0,252,620.0,999.0,37.9,37.93793793793794
ARNOTT'S Tim TAM Smooth and Crunchy Classic Chocolate Sandwich Biscuit with Selected Cocoa Beans 81GM(Imported),All Grocery & Gourmet Foods,2.8,64,280.0,699.0,59.9,59.94277539341917
Nutraj California Pitted Prunes (Dried Seedless Plums) 400g (200g X 2) | Dried Plum | Seedless | Gluten Free | Non GMO | H...,All Grocery & Gourmet Foods,4.1,228,443.0,498.0,11.0,11.04417670682731
Birju Mahavir Gond Katira - Tragacanth Gum 1 KG,All Grocery & Gourmet Foods,4.2,747,420.0,760.0,44.7,44.73684210526316
"Miltop Premium Cardamom Green Whole (ELAICHI), 100g",All Grocery & Gourmet Foods,4.1,223,235.0,500.0,53.0,53.0
Rungtas Real Gold Special Assam Black Tea - 2 Kg | Strong & Fresh Kadak Chai | India Premium Blended Aromatic Long Leaf Te...,All Grocery & Gourmet Foods,4.3,1154,899.0,900.0,0.1,0.1111111111111111
"Happy Jars Chocolate Hazelnut Spread, 265g | Real Dark Chocolate | Pure Hazelnuts | 40% less sugar | No added Palm oil | N...",All Grocery & Gourmet Foods,4.5,11,349.0,399.0,12.5,12.531328320802004
